mbid,total_listen_count,total_user_count
a82e43cb-9f54-4a54-8219-e2b994b5d808,3383,558
1d71c231-fbd9-4522-a5c0-49831ae1324a,659,304
27f1e1a9-5afa-433a-afb7-8b52ad965004,1717,306
f1c80cb1-cf3a-4166-ab22-42bc8ab525b8,1819,285
5c91009c-522e-4e77-81d9-c054a4a0fb25,881,203
2713844b-163b-416c-8c57-81acbc0c4a93,413,123
c3c406f2-8025-4c36-bdd7-c646dcfc886d,65,37
584f29d5-36a4-460c-96e6-c41462e463d0,251,40
30d838c9-2aec-41ff-a44b-03104b7cf43a,998,240
393b6759-fad9-4f36-a858-a8d3b70dc90c,779,361
d466e103-c060-42e7-87fd-5992d64493ed,194,75
12283c76-0b1e-4b2e-abf5-776cd23079c2,4,4
38225241-a18f-4845-b67a-6cc51da71cf0,896,49
c6e22ca1-fd42-4724-ab55-5a68b886486e,9,2
afddab28-f8e8-4be7-9df8-9d1fbcb78045,101,17
79014275-01a7-4380-95e1-c12dba4f0b71,2229,380
62f6e287-ca32-43d2-9fca-ad9cf60da30f,17,3
d4a17554-6cd1-4f5e-b051-e78b29543097,126,38
04179a9a-faa4-4184-b154-096435c5b249,65,14
6e096310-a253-4fb1-9b55-c4246def92ff,2038,598
00087806-5610-4209-ad3e-1de5317c3677,34,20
8abf604d-3c5e-41b0-96d4-a6d293d690d2,4,1
c15dbeac-fbde-4d9a-80a5-4d1f5b1f5490,632,169
4a3c9e73-bb33-4b1b-89dd-49e7bc9995d4,37,10
cc692cd2-d676-4b79-8a71-43ee1f4e5538,289,86
83563fcc-5f34-489d-ab4a-735b1873fa0d,751,127
b3f21bd2-c628-4597-95bd-ad19582512df,1452,397
951f2d53-fe73-40b0-b6af-22ccd39637e9,1,1
eedd1d2f-2238-4a8a-8a6b-3d54e7a289ea,387,88
91dfcaa9-6724-4ae5-bee9-113634d7592d,2574,630
f1077dad-f36a-4d7f-8cba-1e6770b3f52c,1570,303
fe6a2d9a-c7aa-42b3-baa6-90500cf4b837,1580,444
d12d7cdc-3620-4a40-91e9-c6f14cf96aae,1,1
af3465af-6487-4891-8156-80a21490f7c3,386,135
9a5862b4-2960-4911-a7ca-98fd0ad3d614,70,38
3c70553e-fb5f-4557-b715-0536a9ad5041,1037,328
e2c0633c-5023-4446-a127-7e5f6abff9fa,810,331
79bea4ab-84a6-4636-8c91-4e61dbe547ea,367,102
feefc944-a62f-48ab-b263-53ed9fde8e34,517,108
327a057f-9fda-4ec7-ba0f-d29bd727399d,23,12
b7e3a700-7417-46f0-af00-4dd8b838dd4c,8733,1603
17845981-0b21-4bc4-9a99-1514863cddf1,268,66
2cdd0356-4ad3-4611-9dca-45da0eca4b14,2115,365
21096431-2f27-4549-9ac1-a3c57be3a617,86,14
fe103441-345b-4cfe-b0cb-cec3018a48d7,685,122
33d5bcdf-f0ca-4641-9c77-55677e9228ac,37,7
934eb8c2-c86f-46b8-8911-f34655f40864,598,14
4d09670a-3a59-4311-83f5-645729c64136,800,157
e8fb297a-ccd6-45e2-afde-5df6be4ee52e,26,4
2474545b-0638-49ff-abc8-ef00e87a2164,1043,239
6b5f4424-d8f3-4651-8685-fdeebdefad92,1441,275
3d25bdff-fd26-4cf9-b9e2-116e4863834e,182,33
82b6fa3c-3acf-4044-9fd4-afb0915045ed,519,232
842a6a68-1611-4403-b5ad-d3d9c1f4b3aa,6,6
491a5e1d-d089-4af2-852f-022b741c6b03,5865,953
3c669188-2b0d-45a6-a167-4b8c7e4b9256,1703,481
69290e9d-5c4c-4627-9605-0fe85b5d055a,77437,10412
12b1af32-cc87-4401-a89b-da7481d9d053,2327,314
72e2a383-c3f1-4dce-b59c-06f2ba74a2cb,408,106
af1c8afe-557b-46fa-81e6-f16a477f8ab9,53,19
c06ebb34-1a0f-4a1f-b177-621f238577e0,555,163
5cac1f92-1afa-4e06-ab07-c57a632f76be,8720,1306
1a97b464-2770-4456-893c-d72d647a398f,32,15
2fd02ad9-4230-4a7b-b2f1-20fd4bf0ade4,328,106
9d20c997-5700-4e4d-8170-3502cde8aef5,242,69
ff645eb6-82d4-44d9-968d-ba57c6779433,37,9
b74c849e-4707-4018-a781-86e4269f3527,1437,367
46611232-3d64-4aed-8fe5-fa08e4fcc124,2968,514
c355ca0c-78c8-4873-8c7b-1190f844f7a1,138,9
7c1e0ba3-ac34-4a12-aa17-d9686ec647e8,36,9
c113e89f-a364-48d9-ba1a-ed740e46b8d4,33,9
d6ecf87f-8d0b-4ff9-8bde-4e25d6689493,6232,1258
4e5e940d-d000-4214-b656-f586519c7e1f,14,10
b78489b2-71ce-43f1-952a-57e554661602,29,9
